rank,finalWorth,gender,tax_revenue_country_country,total_tax_rate_country,cpi_change_percentage,tax_revenue_percentage_gdp,total_tax_rate_percentage
1,8250.0,1,24.2,60.7,0.9995456610631533,0.29333333333333333,0.7357575757575758
2,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
3,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
4,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
5,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
6,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
7,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
8,8250.0,1,13.1,55.1,2.5434506146672318,0.15878787878787878,0.6678787878787878
9,8250.0,1,11.2,49.7,4.267346486366659,0.13575757575757574,0.6024242424242425
10,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
11,8250.0,0,24.2,60.7,0.9995456610631533,0.29333333333333333,0.7357575757575758
12,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
13,8250.0,1,14.2,47.0,0.6308579668348955,0.1721212121212121,0.5696969696969697
14,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
15,8250.0,1,9.4,59.2,2.318516149664215,0.11393939393939394,0.7175757575757575
16,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
17,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
17,8250.0,0,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
19,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
20,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
21,8250.0,0,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
22,8250.0,1,12.8,24.5,1.6272696128811235,0.15515151515151515,0.296969696969697
23,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
24,8250.0,1,11.2,49.7,4.267346486366659,0.13575757575757574,0.6024242424242425
25,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
26,8250.0,1,9.4,59.2,2.318516149664215,0.11393939393939394,0.7175757575757575
27,8250.0,1,11.5,48.8,1.2405848471422243,0.1393939393939394,0.5915151515151514
28,8250.0,1,24.2,60.7,0.9995456610631533,0.29333333333333333,0.7357575757575758
29,8250.0,1,10.1,28.8,0.4018081366147665,0.12242424242424241,0.3490909090909091
30,8250.0,1,24.0,55.4,1.195457262402869,0.2909090909090909,0.6715151515151515
31,8250.0,0,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
31,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
33,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
34,8250.0,1,9.4,59.2,2.318516149664215,0.11393939393939394,0.7175757575757575
35,8250.0,0,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
35,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
37,8250.0,1,25.4,51.4,1.2705404031848213,0.30787878787878786,0.623030303030303
38,8250.0,1,9.4,59.2,2.318516149664215,0.11393939393939394,0.7175757575757575
39,8250.0,1,11.9,46.7,0.47402351156617367,0.14424242424242426,0.5660606060606062
40,8250.0,1,25.5,30.6,1.421167028924929,0.3090909090909091,0.3709090909090909
41,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
41,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
43,8250.0,1,10.1,28.8,0.4018081366147665,0.12242424242424241,0.3490909090909091
43,8250.0,0,10.1,28.8,0.4018081366147665,0.12242424242424241,0.3490909090909091
45,8250.0,1,9.4,59.2,2.318516149664215,0.11393939393939394,0.7175757575757575
46,8250.0,1,11.5,48.8,1.2405848471422243,0.1393939393939394,0.5915151515151514
47,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
48,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
49,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
50,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
51,8250.0,0,11.5,48.8,1.2405848471422243,0.1393939393939394,0.5915151515151514
52,8250.0,0,23.0,47.4,1.335559265442404,0.2787878787878788,0.5745454545454545
53,8250.0,1,9.4,59.2,2.318516149664215,0.11393939393939394,0.7175757575757575
54,8250.0,1,13.1,55.1,2.5434506146672318,0.15878787878787878,0.6678787878787878
55,8250.0,1,11.2,49.7,4.267346486366659,0.13575757575757574,0.6024242424242425
56,8250.0,1,10.2,30.1,1.9843894695065485,0.12363636363636364,0.36484848484848487
57,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
58,8250.0,1,0.1,15.9,-1.659098847362906,0.0012121212121212121,0.19272727272727275
59,8250.0,1,11.5,48.8,1.2405848471422243,0.1393939393939394,0.5915151515151514
60,8250.0,0,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
61,8250.0,1,10.2,30.1,1.9843894695065485,0.12363636363636364,0.36484848484848487
62,8250.0,1,11.4,46.2,2.4896265560165975,0.13818181818181818,0.5599999999999999
63,8250.0,1,9.4,59.2,2.318516149664215,0.11393939393939394,0.7175757575757575
64,8250.0,1,9.4,59.2,2.318516149664215,0.11393939393939394,0.7175757575757575
65,8250.0,0,18.2,34.0,1.971040861193238,0.22060606060606058,0.4121212121212121
65,8250.0,1,10.2,30.1,1.9843894695065485,0.12363636363636364,0.36484848484848487
67,8250.0,1,25.5,30.6,1.421167028924929,0.3090909090909091,0.3709090909090909
68,8250.0,1,11.2,49.7,4.267346486366659,0.13575757575757574,0.6024242424242425
69,8250.0,1,11.9,46.7,0.47402351156617367,0.14424242424242426,0.5660606060606062
70,8250.0,1,11.4,46.2,2.4896265560165975,0.13818181818181818,0.5599999999999999
71,8250.0,1,24.2,60.7,0.9995456610631533,0.29333333333333333,0.7357575757575758
72,8250.0,0,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
72,8250.0,1,11.4,46.2,2.4896265560165975,0.13818181818181818,0.5599999999999999
74,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
74,8250.0,1,9.4,59.2,2.318516149664215,0.11393939393939394,0.7175757575757575
76,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
77,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
77,8250.0,1,11.9,46.7,0.47402351156617367,0.14424242424242426,0.5660606060606062
79,8250.0,1,11.4,46.2,2.4896265560165975,0.13818181818181818,0.5599999999999999
80,8250.0,1,11.4,46.2,2.4896265560165975,0.13818181818181818,0.5599999999999999
81,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
82,8250.0,1,23.0,47.4,1.335559265442404,0.2787878787878788,0.5745454545454545
83,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
84,8250.0,1,9.4,59.2,2.318516149664215,0.11393939393939394,0.7175757575757575
84,8250.0,1,9.4,59.2,2.318516149664215,0.11393939393939394,0.7175757575757575
86,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
86,8250.0,1,9.4,59.2,2.318516149664215,0.11393939393939394,0.7175757575757575
88,8250.0,1,9.4,59.2,2.318516149664215,0.11393939393939394,0.7175757575757575
89,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
89,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
89,8250.0,1,11.4,46.2,2.4896265560165975,0.13818181818181818,0.5599999999999999
92,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
93,8250.0,1,25.5,30.6,1.421167028924929,0.3090909090909091,0.3709090909090909
94,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
94,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
94,8250.0,0,11.2,49.7,4.267346486366659,0.13575757575757574,0.6024242424242425
97,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
97,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
99,8250.0,1,9.6,36.6,6.397134083930399,0.11636363636363636,0.44363636363636366
100,8250.0,0,10.1,28.8,0.4018081366147665,0.12242424242424241,0.3490909090909091
